                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.308,                 3.6709,                 1.3479,                 0.0066,                   0.72,                0.35152,                0.13414,                 2.1267,                 2.9865,                 1.1254,               0.070455,              0.0032828,              0.0032828
                      2,                 2.1775,                 1.7154,                 1.1986,                0.65498,                0.49538,                0.50987,                0.19928,                 2.0894,                 1.5544,                 1.1607,               0.040193,              0.0063542,              0.0063542
                      3,                 2.0966,                 1.5484,                 1.1863,                0.68423,                0.54671,                0.60927,                0.25537,                 2.0324,                 1.4197,                 1.1533,              0.0096665,              0.0091615,              0.0091615
                      4,                 2.1802,                 1.5421,                 1.1762,                0.64942,                   0.56,                0.56309,                0.20427,                 2.1347,                 1.3047,                  1.182,               0.008812,               0.008812,               0.008812
                      5,                 2.0982,                 1.3814,                 1.1792,                0.68737,                0.62154,                0.60195,                 0.2102,                 2.2009,                 1.1777,                 1.2151,               0.008812,               0.008812,               0.008812
                      6,                 2.0963,                  1.282,                 1.1757,                0.65456,                0.60308,                0.57897,                0.22089,                 2.0981,                 1.2193,                 1.1855,               0.008416,               0.008416,               0.008416
                      7,                 2.0534,                 1.2053,                 1.1851,                0.65099,                0.49357,                0.52485,                0.20238,                 2.0739,                 1.3564,                 1.1582,                0.00802,                0.00802,                0.00802
                      8,                 2.0842,                 1.1744,                 1.1845,                0.67898,                0.60923,                0.59137,                0.23961,                 2.0297,                 1.1216,                 1.1521,               0.007624,               0.007624,               0.007624
                      9,                  2.019,                 1.1186,                 1.1724,                0.72481,                0.51077,                0.54104,                0.18722,                 2.2043,                 1.2757,                 1.2313,               0.007228,               0.007228,               0.007228
                     10,                 2.0345,                 1.1339,                 1.1615,                0.74648,                0.62154,                0.65506,                0.25764,                 1.9348,                 1.1172,                 1.1174,               0.006832,               0.006832,               0.006832
                     11,                  2.031,                  1.099,                 1.1425,                0.81671,                0.64308,                0.70285,                0.28312,                 1.9536,                 1.0264,                 1.1156,               0.006436,               0.006436,               0.006436
                     12,                 1.9946,                 1.0694,                 1.1375,                0.78479,                0.63957,                0.68498,                0.28679,                 1.9136,                 1.0414,                 1.1108,                0.00604,                0.00604,                0.00604
                     13,                 1.9897,                  1.057,                 1.1427,                0.78997,                0.57846,                 0.6541,                0.26204,                 1.9534,                 1.0589,                 1.1175,               0.005644,               0.005644,               0.005644
                     14,                 1.9536,                 1.0156,                 1.1424,                0.80768,                   0.64,                0.66537,                 0.2658,                 2.0481,                  1.037,                 1.1595,               0.005248,               0.005248,               0.005248
                     15,                 1.9669,                 1.0274,                 1.1213,                0.78943,                0.68061,                0.74052,                0.31109,                 1.9379,                0.96447,                 1.1041,               0.004852,               0.004852,               0.004852
